0	0	0	0	0	1.06	1.42	1.89	2.54
								
0	0	0	0	0.85	1.11	1.42	1.89	2.58
								
0	0	0	0	0.9	1.16	1.47	1.94	2.61
								
0	0	0	0	1.01	1.21	1.52	1.99	2.64
								
0	0	0	0.91	1.1	1.32	1.58	1.99	2.68
								
0	0	0	1.05	1.21	1.41	1.67	2.09	2.75
								
0	0	1.05	1.21	1.36	1.52	1.76	2.13	2.82
								
1.05	1.21	1.36	1.47	1.62	1.78	1.98	2.32	2.91
								
1.66	1.76	1.86	1.97	2.07	2.22	2.38	2.64	3.14

