0.1	-0.01514
0.11	-0.01514
0.13	-0.01838
0.2	-0.03135
0.23	-0.03459
0.31	-0.04432
0.35	-0.04757
0.43	-0.0573
0.51	-0.06378
0.55	-0.06703
0.63	-0.07027
0.71	-0.07351
0.75	-0.07351
0.83	-0.07027
0.91	-0.06703
0.93	-0.06378
0.95	-0.06378
0.96	-0.06378
1.01	-0.06054
1.03	-0.0573
1.11	-0.05081
1.16	-0.04432
1.24	-0.03135
1.32	-0.02162
1.35	-0.01838
1.42	-0.008649
1.46	-0.002162
1.54	0.01405
1.62	0.02378
1.66	0.03027
1.74	0.04649
1.82	0.05622
1.84	0.05946
1.95	0.07568
2.02	0.07892
2.06	0.08216
2.15	0.09189
2.22	0.09838
2.27	0.1016
2.36	0.1081
2.44	0.1081
2.52	0.1114
2.56	0.1146
2.65	0.1114
2.74	0.1114
2.77	0.1114
2.86	0.1081
2.95	0.1049
3.04	0.1049
3.07	0.1016
3.16	0.09838
3.23	0.09514
3.27	0.09189
3.33	0.08865
3.37	0.08541
3.43	0.08541
3.47	0.08216
3.56	0.07892
3.65	0.07568
3.68	0.07568
3.77	0.07243
3.86	0.06919
3.88	0.06595
3.96	0.06595
4.05	0.06595
4.08	0.0627
4.15	0.0627
4.19	0.05946
4.25	0.05946
4.34	0.05622
4.39	0.05297
4.44	0.04973
4.57	0.04973
4.76	0.04649
4.88	0.04649
4.97	0.04324

