hbar Omega (meV)	Re[K(hbar Omega)] (ps-1)
0.09	0.00767
0.1	0.00768
0.11	0.0115
0.13	0.0153
0.19	0.0306
0.23	0.0534
0.25	0.061
0.28	0.0763
0.31	0.0915
0.34	0.107
0.38	0.137
0.4	0.152
0.42	0.168
0.46	0.19
0.48	0.209
0.51	0.236
0.55	0.267
0.58	0.289
0.6	0.308
0.63	0.335
0.67	0.366
0.7	0.396
0.73	0.423
0.75	0.438
0.78	0.464
0.81	0.491
0.84	0.514
0.87	0.537
0.9	0.567
0.94	0.598
0.96	0.613
1	0.64
1.02	0.655
1.05	0.67
1.09	0.697
1.15	0.723
1.19	0.739
1.25	0.765
1.29	0.777
1.37	0.792
1.44	0.8
1.52	0.792
1.57	0.784
1.6	0.777
1.65	0.766
1.67	0.762
1.72	0.747
1.8	0.716
1.85	0.69
1.89	0.678
1.94	0.652
1.97	0.636
2	0.617
2.03	0.599
2.09	0.564
2.14	0.534
2.19	0.507
2.23	0.485
2.26	0.466
2.29	0.45
2.32	0.428
2.36	0.409
2.39	0.393
2.44	0.363
2.47	0.348
2.5	0.333
2.54	0.31
2.58	0.291
2.66	0.257
2.7	0.238
2.74	0.223
2.8	0.196
2.89	0.166
2.97	0.143
3.04	0.124
3.1	0.109
3.15	0.0937
3.2	0.0823
3.26	0.0709
3.34	0.0596
3.42	0.0482
3.49	0.0407
3.58	0.0331
3.65	0.0256
3.72	0.0218
3.79	0.0181
3.85	0.0143
3.91	0.0106
4	0.0106
4.06	0.0107
4.15	0.00696
4.23	0.00702
4.32	0.00329
4.41	0.00335
4.47	0.0034
4.56	0.00347
4.62	0.00351
4.71	0.00358
4.77	0.00363
4.86	0.0037
4.9	0.00373
4.92	0.00374
4.94	0.00376

