0.1	-0.04108
0.11	-0.04432
0.17	-0.06378
0.23	-0.08324
0.28	-0.09946
0.36	-0.1124
0.42	-0.1222
0.47	-0.1222
0.53	-0.1189
0.59	-0.1124
0.65	-0.1027
0.72	-0.08649
0.78	-0.06703
0.84	-0.04757
0.89	-0.02811
0.95	-0.005405
0.98	0.01405
1.04	0.03351
1.09	0.05297
1.14	0.07568
1.19	0.09514
1.25	0.1146
1.31	0.1341
1.38	0.1503
1.44	0.1632
1.5	0.173
1.57	0.1827
1.63	0.1859
1.69	0.1892
1.75	0.1892
1.76	0.1892
1.81	0.1892
1.82	0.1892
1.87	0.1859
1.94	0.1795
2	0.1762
2.07	0.1697
2.12	0.1632
2.18	0.16
2.19	0.16
2.25	0.1535
2.32	0.1438
2.37	0.1373
2.44	0.1308
2.49	0.1276
2.55	0.1211
2.63	0.1146
2.69	0.1114
2.75	0.1049
2.8	0.1016
2.87	0.09838
2.93	0.09514
3	0.08865
3.05	0.08865
3.11	0.08541
3.17	0.08216
3.24	0.07892
3.31	0.07892
3.37	0.07568
3.43	0.07243
3.49	0.07243
3.55	0.06595
3.62	0.06595
3.67	0.06595
3.74	0.06595
3.8	0.0627
3.87	0.0627
3.93	0.05946
3.98	0.05946
3.99	0.05946
4.04	0.05946
4.05	0.05946
4.11	0.05622
4.17	0.05622
4.23	0.05297
4.3	0.05297
4.36	0.05297
4.43	0.04973
4.49	0.05297
4.55	0.04973
4.61	0.04973
4.67	0.04973
4.73	0.04649
4.8	0.04649
4.86	0.04649

